code,label
"['@staticmethod...\n' '""""""docstring""""""\n' 'VAR_15 = VAR_6.content\n'
 ""VAR_16 = VAR_15.get('application/x-www-form-urlencoded')\n""
 'if VAR_16 is not None and isinstance(VAR_16.media_type_schema, oai.Reference):\n'
 'return Reference.from_ref(VAR_16.media_type_schema.ref)\n'
 'return None\n']",0
"['def FUNC_12(self):...\n' '""""""docstring""""""\n'
 'if not self.email_address:\n'
 ""VAR_161 = re.match('.*<(?P<email>.*@*.)>', settings.DEFAULT_FROM_EMAIL)\n""
 ""return u'%s <%s>' % (self.title, self.email_address)\n""
 'if VAR_161 is not None:\n'
 ""return u'NO QUEUE EMAIL ADDRESS DEFINED %s' % settings.DEFAULT_FROM_EMAIL\n""
 ""return u'NO QUEUE EMAIL ADDRESS DEFINED <%s>' % settings.DEFAULT_FROM_EMAIL\n""]",0
"['def FUNC_86(self, VAR_153, VAR_168, VAR_112=VAR_3, VAR_134=VAR_3, VAR_135=...\n'
 'if not (isinstance(VAR_153, VAR_0) or VAR_153 in self.db.tables) or isinstance(\n'
 'if not isinstance(VAR_153, VAR_0):\n' 'VAR_153 = self.db[VAR_153]\n'
 'VAR_150 = VAR_168.id\n' 'VAR_150 = VAR_168 or 0\n'
 ""if VAR_150 and not self.has_permission('update', VAR_153, VAR_150):\n""
 'redirect(self.settings.auth.settings.on_failed_authorization)\n'
 ""if not VAR_150 and not self.has_permission('create', VAR_153, VAR_150):\n""
 'redirect(self.settings.auth.settings.on_failed_authorization)\n'
 'VAR_56 = VAR_263.request\n' 'VAR_244 = VAR_263.response\n'
 'VAR_139 = VAR_263.session\n'
 ""if VAR_56.extension == 'json' and VAR_56.vars.json:\n""
 'VAR_56.vars.update(FUNC_98.loads(VAR_56.vars.json))\n'
 'if VAR_112 is VAR_3:\n'
 'VAR_112 = (VAR_56.get_vars._next or VAR_56.post_vars._next or self.settings\n    .update_next)\n'
 'if VAR_134 is VAR_3:\n' 'VAR_134 = self.settings.update_onvalidation\n'
 'if VAR_135 is VAR_3:\n' 'VAR_135 = self.settings.update_onaccept\n'
 'if VAR_169 is VAR_3:\n' 'VAR_169 = self.settings.update_ondelete\n'
 'if VAR_136 is VAR_3:\n' ""VAR_136 = self.messages['update_log']\n""
 'if VAR_170 is VAR_3:\n' 'VAR_170 = self.settings.update_deletable\n'
 'if VAR_37 is VAR_3:\n' 'VAR_37 = self.messages.record_updated\n'
 ""if 'hidden' not in VAR_172:\n"" ""VAR_172['hidden'] = {}\n""
 ""VAR_172['hidden']['_next'] = VAR_112\n""
 'VAR_7 = SQLFORM(VAR_153, VAR_168, showid=self.settings.showid,\n    submit_button=self.messages.submit_button, delete_label=self.messages.\n    delete_label, VAR_170=deletable, upload=self.settings.download_url,\n    VAR_273=self.settings.formstyle, separator=self.settings.\n    label_separator, **attributes)\n'
 'self.accepted = False\n' 'self.deleted = False\n'
 'VAR_232 = self.settings.update_captcha or self.settings.captcha\n'
 'if VAR_168 and VAR_232:\n'
 ""FUNC_5(VAR_7, VAR_232.label, VAR_232, VAR_232.comment, self.settings.\n    formstyle, 'captcha__row')\n""
 'VAR_232 = self.settings.create_captcha or self.settings.captcha\n'
 'if not VAR_168 and VAR_232:\n'
 ""FUNC_5(VAR_7, VAR_232.label, VAR_232, VAR_232.comment, self.settings.\n    formstyle, 'captcha__row')\n""
 ""if VAR_56.extension not in ('html', 'load'):\n""
 'VAR_383, VAR_384 = None, None\n'
 ""VAR_383, VAR_384 = VAR_139, '%s/%s' % (VAR_153._tablename, VAR_7.record_id)\n""
 'if VAR_171 is not VAR_3:\n' 'VAR_384 = VAR_171\n'
 'VAR_288 = self.settings.keepvalues\n'
 'if VAR_56.vars.delete_this_record:\n' 'VAR_288 = False\n'
 'if isinstance(VAR_134, StorageList):\n'
 'VAR_134 = VAR_134.get(VAR_153._tablename, [])\n'
 'if VAR_7.accepts(VAR_56, VAR_383, VAR_171=_formname, VAR_134=onvalidation,\n'
 'self.accepted = True\n' ""if VAR_56.extension not in ('html', 'load'):\n""
 'VAR_244.flash = VAR_37\n' 'return VAR_7\n' 'if VAR_136:\n'
 'self.log_event(VAR_136, VAR_7.vars)\n'
 'if VAR_56.vars.delete_this_record:\n' 'self.deleted = True\n'
 'VAR_244.flash = VAR_37\n' 'VAR_37 = self.messages.record_deleted\n'
 'VAR_26(VAR_135, VAR_7, VAR_153._tablename)\n'
 'VAR_26(VAR_169, VAR_7, VAR_153._tablename)\n'
 ""if VAR_56.extension not in ('html', 'load'):\n""
 'if isinstance(VAR_112, (list, tuple)):\n' 'VAR_112 = VAR_112[0]\n'
 'if VAR_112:\n' 'VAR_112 = FUNC_4(VAR_112, VAR_7)\n'
 'VAR_139.flash = VAR_244.flash\n' 'redirect(VAR_112)\n']",1
"['def FUNC_3(self, VAR_13):...\n' '""""""docstring""""""\n'
 'VAR_13 = super().to_python(VAR_13)\n' 'if isinstance(VAR_13, date):\n'
 'return from_current_timezone(datetime(VAR_13.year, VAR_13.month, VAR_13.day,\n    0, 0, 0))\n'
 'return VAR_13\n']",0
"['def FUNC_8(self, VAR_1):...\n'
 'from openapi_python_client.parser.properties import RefProperty\n'
 ""VAR_25 = VAR_28(VAR_5='test', VAR_26=True, default=None, reference=mocker.\n    MagicMock(class_name='MyRefClass'))\n""
 ""assert VAR_25.template == 'ref_property.pyi'\n""
 ""VAR_1.patch(f'{VAR_0}.EnumProperty.get_enum', return_value='an enum')\n""
 ""assert VAR_25.template == 'enum_property.pyi'\n""]",0
"['from . import config\n' 'from .h import *\n' 'from .messages import *\n'
 'def FUNC_0(VAR_0):...\n'
 ""VAR_1 = config.retrieveBoilerplateFile(VAR_0, 'bs-extensions')\n""
 'exec(VAR_1, globals())\n']",1
['@property...\n' 'return self.widget.media\n'],0
"['def FUNC_3(self, VAR_5, VAR_9, *VAR_10, **VAR_4):...\n'
 '""""""docstring""""""\n' ""if 'conn' not in VAR_4:\n"" 'return\n'
 ""VAR_6 = VAR_4['conn']\n""
 ""VAR_9['omero'] = {'constants': {'NSCOMPANIONFILE': constants.namespaces.\n    NSCOMPANIONFILE, 'ORIGINALMETADATA': constants.annotation.file.\n    ORIGINALMETADATA, 'NSCLIENTMAPANNOTATION': constants.metadata.\n    NSCLIENTMAPANNOTATION}}\n""
 ""VAR_9.setdefault('ome', {})\n""
 'VAR_12 = omeroweb.decorators.is_public_user(VAR_5)\n'
 'if VAR_12 is not None:\n' ""VAR_9['ome']['is_public_user'] = VAR_12\n""
 ""VAR_9['ome']['eventContext'] = eventContextMarshal(VAR_6.getEventContext())\n""
 ""VAR_9['ome']['user'] = VAR_6.getUser\n""
 ""VAR_9['ome']['user_id'] = VAR_5.session.get('user_id', VAR_6.getUserId())\n""
 ""VAR_9['ome']['group_id'] = VAR_5.session.get('group_id', None)\n""
 ""VAR_9['ome']['active_group'] = VAR_5.session.get('active_group', VAR_6.\n    getEventContext().groupId)\n""
 ""VAR_9['global_search_form'] = GlobalSearchForm()\n""
 ""VAR_9['ome']['can_create'] = VAR_5.session.get('can_create', True)\n""
 ""if VAR_5.session.get('server_settings'):\n""
 ""VAR_9['ome']['email'] = VAR_5.session.get('server_settings').get('email', False\n    )\n""
 'self.load_settings(VAR_5, VAR_9, VAR_6)\n'
 ""if VAR_5.session.get('server_settings').get('ui'):\n""
 ""VAR_9.setdefault('ui', {'tree': {}})\n""
 ""VAR_9['ui']['orphans'] = VAR_5.session.get('server_settings').get('ui', {}\n    ).get('tree', {}).get('orphans')\n""
 ""VAR_9['ui']['dropdown_menu'] = VAR_5.session.get('server_settings').get('ui',\n    {}).get('menu', {}).get('dropdown')\n""
 ""VAR_9['ui']['tree']['type_order'] = VAR_5.session.get('server_settings').get(\n    'ui', {}).get('tree', {}).get('type_order')\n""]",1
"['def FUNC_1(VAR_13):...\n' ""return VAR_0.sub(' ', VAR_13.lower())\n""]",1
"['def FUNC_7(self):...\n' ""self.run_command('jsdeps')\n""
 'VAR_48 = os.environ.copy()\n' ""VAR_48['PATH'] = VAR_13\n""
 'VAR_52 = ThreadPool()\n' 'VAR_52.map(self.build_main, self.apps)\n'
 ""VAR_52.map(self.build_jstranslation, glob('notebook/i18n/??_??'))\n""
 'FUNC_5(self.distribution)\n']",0
"['@login_required...\n'
 'VAR_3 = get_object_or_404(CommentPoll, VAR_1=pk, comment__user=request.user)\n'
 'if VAR_2:\n' 'VAR_8 = timezone.now()\n' 'VAR_8 = None\n'
 'CommentPoll.objects.filter(VAR_1=poll.pk).update(VAR_8=close_at)\n'
 ""return redirect(VAR_0.GET.get('next', VAR_3.get_absolute_url()))\n""]",1
"['def FUNC_19(VAR_24, VAR_17):...\n' 'VAR_39 = False\n'
 'if len(VAR_17.comments):\n' 'if VAR_17.comments[0].text != VAR_24:\n'
 'if VAR_24:\n' 'VAR_17.comments[0].text = VAR_24\n' 'return VAR_39\n'
 'VAR_17.comments.append(db.Comments(text=comments, VAR_17=book.id))\n'
 'VAR_39 = True\n' 'VAR_39 = True\n']",1
"['def FUNC_2(self) ->str:...\n' '""""""docstring""""""\n' 'if self.required:\n'
 'return self.reference.class_name\n'
 ""return f'Optional[{self.reference.class_name}]'\n""]",1
"['def __init__(self, *VAR_17, **VAR_18):...\n'
 'super().__init__(*VAR_17, **kwargs)\n'
 'self.user, self.repo, self.unresolved_ref = FUNC_0(self.spec)\n'
 ""self.repo = FUNC_1(self.repo, '.git')\n""]",0
"['def FUNC_0(VAR_2):...\n' '""""""docstring""""""\n'
 ""return HttpResponse('Welcome to webgateway')\n""]",0
"['@require_POST...\n'
 'TopicNotification.objects.for_access(VAR_0.user).filter(is_read=False).update(\n    is_read=True)\n'
 ""return redirect(VAR_0.POST.get('next', reverse(\n    'spirit:topic:notification:index')))\n""]",1
"['@administrator_required...\n'
 'VAR_2 = BasicConfigForm(data=post_data(request))\n'
 'if is_post(VAR_1) and VAR_2.is_valid():\n' 'VAR_2.save()\n'
 ""return render(VAR_1=request, template_name='spirit/admin/config_basic.html',\n    VAR_3={'form': form})\n""
 ""messages.info(VAR_1, _('Settings updated!'))\n""
 ""return redirect(VAR_1.GET.get('next', VAR_1.get_full_path()))\n""]",1
"['def FUNC_3(self, *VAR_4, **VAR_5):...\n' 'self.getBaseUrl(VAR_3=True)\n'
 'VAR_48 = 0 == self.userdb.getUserCount()\n' 'VAR_49 = self.mainpage\n'
 ""if 'devel' in VAR_5:\n"" ""VAR_49 = readRes('res/devel.html')\n""
 ""if 'login' in VAR_5:\n"" ""self.loginpage = readRes('res/login.html')\n""
 ""VAR_6 = VAR_5.get('username', '')\n"" 'if VAR_48:\n'
 ""self.firstrunpage = readRes('res/firstrun.html')\n""
 ""VAR_7 = VAR_5.get('password', '')\n"" 'return self.firstrunpage\n'
 'if self.isAuthorized():\n' ""VAR_89 = VAR_5.get('login', '')\n""
 'return VAR_49\n' 'return self.loginpage\n' ""if VAR_89 == 'login':\n""
 'self.session_auth(VAR_6, VAR_7)\n' ""if VAR_89 == 'create admin user':\n""
 ""if VAR_53.session['username']:\n"" 'if VAR_48:\n'
 ""VAR_6 = VAR_53.session['username']\n""
 'if VAR_6.strip() and VAR_7.strip():\n' 'return ""No, you can\'t.""\n'
 ""log.i(_('user {name} just logged in.').format(VAR_81=username))\n""
 'self.userdb.addUser(VAR_6, VAR_7, True)\n'
 'self.session_auth(VAR_6, VAR_7)\n' 'return VAR_49\n']",0
"['@require_POST...\n'
 'VAR_5 = get_object_or_404(TopicFavorite, VAR_2=pk, user=request.user)\n'
 'VAR_5.delete()\n'
 ""return redirect(VAR_0.POST.get('next', VAR_5.topic.get_absolute_url()))\n""]",1
"['def FUNC_2(self, VAR_1):...\n'
 'from openapi_python_client.parser.properties import DateProperty\n'
 'VAR_5 = VAR_1.MagicMock()\n'
 ""VAR_1.patch('openapi_python_client.utils.snake_case')\n""
 'VAR_4 = VAR_37(VAR_5=name, VAR_26=True, default=None)\n'
 ""assert VAR_4.get_imports(VAR_9='') == {'from datetime import date',\n    'from typing import cast'}\n""
 'VAR_4.required = False\n'
 ""assert VAR_4.get_imports(VAR_9='') == {'from typing import Optional',\n    'from datetime import date', 'from typing import cast'}\n""]",1
"['def FUNC_8(VAR_23=None):...\n' ""if hasattr(VAR_1, 'conf'):\n""
 'return VAR_1.conf\n' 'return VAR_1.conf\n']",0
"['import cgi\n' 'import logging\n' 'import random\n' 'import sys\n'
 'import urllib.parse\n' 'from io import BytesIO\n'
 'from typing import Callable, Dict, List, Optional, Tuple, Union\n'
 'import attr\n' 'import treq\n'
 'from canonicaljson import encode_canonical_json\n'
 'from prometheus_client import Counter\n'
 'from signedjson.sign import sign_json\n'
 'from zope.interface import implementer\n'
 'from twisted.internet import defer\n'
 'from twisted.internet.error import DNSLookupError\n'
 'from twisted.internet.interfaces import IReactorPluggableNameResolver, IReactorTime\n'
 'from twisted.internet.task import _EPSILON, Cooperator\n'
 'from twisted.web.http_headers import Headers\n'
 'from twisted.web.iweb import IBodyProducer, IResponse\n'
 'import synapse.metrics\n' 'import synapse.util.retryutils\n'
 'from synapse.api.errors import FederationDeniedError, HttpResponseException, RequestSendFailed\n'
 'from synapse.http import QuieterFileBodyProducer\n'
 'from synapse.http.client import BlacklistingAgentWrapper, IPBlacklistingResolver, encode_query_args, readBodyToFile\n'
 'from synapse.http.federation.matrix_federation_agent import MatrixFederationAgent\n'
 'from synapse.logging.context import make_deferred_yieldable\n'
 'from synapse.logging.opentracing import inject_active_span_byte_dict, set_tag, start_active_span, tags\n'
 'from synapse.types import JsonDict\n'
 'from synapse.util import json_decoder\n'
 'from synapse.util.async_helpers import timeout_deferred\n'
 'from synapse.util.metrics import Measure\n'
 'VAR_0 = logging.getLogger(__name__)\n'
 ""VAR_1 = Counter('synapse_http_matrixfederationclient_requests', '', ['method'])\n""
 ""VAR_2 = Counter('synapse_http_matrixfederationclient_responses', '', [\n    'method', 'code'])\n""
 'VAR_3 = 10\n' 'VAR_4 = 3\n' 'VAR_5 = sys.maxsize\n' 'VAR_6 = 1\n'
 'VAR_7 = Dict[str, Union[str, List[str]]]\n'
 'VAR_15 = VAR_60.ib(type=str)\n' '""""""HTTP method\n    """"""\n'
 'VAR_16 = VAR_60.ib(type=str)\n' '""""""HTTP path\n    """"""\n'
 'VAR_17 = VAR_60.ib(type=str)\n'
 '""""""The remote server to send the HTTP request to.\n    """"""\n'
 'VAR_18 = VAR_60.ib(default=None, type=Optional[JsonDict])\n'
 '""""""JSON to send in the body.\n    """"""\n'
 'VAR_19 = VAR_60.ib(default=None, type=Optional[Callable[[], JsonDict]])\n'
 '""""""A callback to generate the JSON.\n    """"""\n'
 'VAR_20 = VAR_60.ib(default=None, type=Optional[dict])\n'
 '""""""Query arguments.\n    """"""\n'
 'VAR_21 = VAR_60.ib(default=None, type=Optional[str])\n'
 '""""""Unique ID for this request (for logging)\n    """"""\n'
 'VAR_22 = VAR_60.ib(init=False, type=bytes)\n'
 '""""""The URI of this request\n    """"""\n'
 'def __attrs_post_init__(self) ->None:...\n'
 ""VAR_21 = '%s-O-%s' % (self.method, VAR_6)\n""
 'VAR_6 = (VAR_6 + 1) % (VAR_5 - 1)\n'
 ""object.__setattr__(self, 'txn_id', VAR_21)\n""
 ""VAR_44 = self.destination.encode('ascii')\n""
 ""VAR_45 = self.path.encode('ascii')\n"" 'if self.query:\n'
 'VAR_58 = encode_query_args(self.query)\n' ""VAR_58 = b''\n""
 ""VAR_22 = urllib.parse.urlunparse((b'matrix', VAR_44, VAR_45, None, VAR_58, b'')\n    )\n""
 ""object.__setattr__(self, 'uri', VAR_22)\n""
 'def FUNC_3(self) ->Optional[JsonDict]:...\n' 'if self.json_callback:\n'
 'return self.json_callback()\n' 'return self.json\n']",1
"['@FUNC_0...\n'
 'VAR_17 = context_factory.FederationPolicyForHTTPS(self.config)\n'
 'return MatrixFederationHttpClient(self, VAR_17)\n']",1
"['def FUNC_5(VAR_10=None):...\n' 'VAR_3 = VAR_10 or request.args(0)\n'
 'if VAR_3 and os.path.exists(apath(VAR_3, VAR_122=request)) and (not\n'
 'return VAR_3\n'
 ""session.flash = T('App does not exist or you are not authorized')\n""
 ""redirect(URL('site'))\n""]",0
"['@staticmethod...\n' '""""""docstring""""""\n' 'for VAR_5 in VAR_3:\n'
 'VAR_5 = pathlib.PurePosixPath(VAR_5)\n' 'VAR_6 = storage.aws_location\n'
 'VAR_6 = storage.location\n'
 'VAR_7 = storage.open(str(VAR_5.relative_to(VAR_6)))\n'
 ""VAR_0.exception('File not found: %s', VAR_5)\n""
 'VAR_7.name = VAR_5.name\n' 'yield VAR_7\n']",1
"['def FUNC_41(self, VAR_24=None):...\n' '""""""docstring""""""\n'
 'VAR_65 = []\n'
 ""for VAR_19 in self.meta.get('fields', {'fieldtype': ['in', VAR_81]}):\n""
 'if VAR_24:\n' 'return VAR_65\n' 'if VAR_19.options == VAR_24:\n'
 'VAR_26 = self.get(VAR_19.fieldname)\n'
 'return self.get(VAR_19.fieldname)\n' 'if isinstance(VAR_26, list):\n'
 'VAR_65.extend(VAR_26)\n']",0
"['@transaction.non_atomic_requests...\n' '""""""docstring""""""\n'
 'VAR_10 = SlashSeparatedCourseKey.from_deprecated_string(VAR_10)\n'
 ""VAR_65 = get_course_with_access(VAR_9.user, 'staff', VAR_10, depth=None)\n""
 ""VAR_128 = VAR_9.GET.get('unique_student_identifier', None)\n""
 'VAR_40 = None\n' 'if VAR_128 is not None:\n'
 'VAR_40 = get_student_from_identifier(VAR_128)\n'
 ""VAR_129 = VAR_9.GET.get('all_students') in ['true', 'True', True]\n""
 'if not VAR_65.entrance_exam_id:\n'
 ""return HttpResponseBadRequest(_('Course has no entrance exam section.'))\n""
 'if VAR_129 and VAR_40:\n'
 ""return HttpResponseBadRequest(_(\n    'Cannot rescore with all_students and unique_student_identifier.'))\n""
 'VAR_189 = VAR_10.make_usage_key_from_deprecated_string(VAR_65.entrance_exam_id)\n'
 ""return HttpResponseBadRequest(_('Course has no valid entrance exam section.'))\n""
 'VAR_63 = {}\n' 'if VAR_40:\n' ""VAR_63['student'] = VAR_128\n""
 ""VAR_63['student'] = _('All Students')\n""
 'instructor_task.api.submit_rescore_entrance_exam_for_student(VAR_9, VAR_189,\n    VAR_40)\n'
 ""VAR_63['task'] = 'created'\n"" 'return JsonResponse(VAR_63)\n']",1
"['def FUNC_0(VAR_0, VAR_1):...\n' 'VAR_4 = []\n' ""VAR_4.append('{')\n""
 'VAR_4.append(\'""text"": ""{}"",\'.format(VAR_0.label))\n'
 'VAR_4.append(\'""state"": {{ ""opened"": true, ""selected"": {} }},\'.format(\'true\' if\n    VAR_0 == VAR_1 else \'false\'))\n'
 'VAR_4.append(\'""data"": {{ ""href"": ""{}"" }},\'.format(VAR_0.get_absolute_url()))\n'
 ""VAR_5 = VAR_0.get_children().order_by('label')\n"" 'if VAR_5:\n'
 'VAR_4.append(\'""children"" : [\')\n' ""VAR_4.append('},')\n""
 'for child in VAR_5:\n' 'return VAR_4\n'
 'VAR_4.extend(FUNC_0(VAR_0=child, VAR_1=selected_node))\n'
 ""VAR_4.append(']')\n""]",1
"['def FUNC_115(VAR_129):...\n' 'VAR_83.append(VAR_129)\n'
 'VAR_86[VAR_129] = VAR_89\n' 'if VAR_87:\n' 'VAR_84.append(VAR_129)\n'
 'return VAR_129\n' 'if VAR_88:\n' 'VAR_85.append(VAR_129)\n']",1
"['def FUNC_0(VAR_2: str, VAR_3: str, VAR_4: str) ->bool:...\n'
 'return True\n']",1
"[""@VAR_0.route('/camera/<camera_unique_id>/<img_type>/<filename>')...\n""
 '""""""docstring""""""\n'
 'VAR_8 = Camera.query.filter(Camera.unique_id == VAR_4).first()\n'
 ""VAR_33 = assure_path_exists(os.path.join(PATH_CAMERAS, '{uid}'.format(uid=\n    camera.unique_id)))\n""
 ""if VAR_5 == 'still':\n"" 'if VAR_8.path_still:\n'
 ""if VAR_5 == 'timelapse':\n"" 'VAR_34 = VAR_8.path_still\n'
 'VAR_34 = os.path.join(VAR_33, VAR_5)\n' 'if VAR_8.path_timelapse:\n'
 ""return 'Unknown Image Type'\n"" 'if os.path.isdir(VAR_34):\n'
 'VAR_34 = VAR_8.path_timelapse\n'
 'VAR_34 = os.path.join(VAR_33, VAR_5)\n'
 'VAR_71 = (VAR_71 for VAR_71 in os.listdir(VAR_34) if os.path.isfile(os.path\n    .join(VAR_34, VAR_71)))\n'
 'VAR_71 = []\n' 'if VAR_3 in VAR_71:\n'
 'VAR_46 = os.path.join(VAR_34, VAR_3)\n' ""return 'Image not found'\n""
 ""return send_file(VAR_46, mimetype='image/jpeg')\n""]",1
